,statefips,statename,stateabbrev,state_pop2019,year,month,day,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
0,1,Alabama,AL,4903185,2020,2,24,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.00286,-0.0071400000000000005,.0557,.06,0.0129,0.00857,-0.00798,0.0167,0.00144,0.0268,.0203,-.000197,0.0142,.029,-.0055
1,1,Alabama,AL,4903185,2020,2,25,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0186,0.00143,.11,.0714,0.01,0.00571,-0.00519,0.0172,0.00105,0.0277,.0218,.00187,0.0142,.0291,-.00528
2,1,Alabama,AL,4903185,2020,2,26,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0357,0.0071400000000000005,.111,.0814,0.00857,0.0042899999999999995,-0.00359,0.0178,0.0007610000000000001,0.0285,.0231,.0038,0.0143,.029,-.00496
3,1,Alabama,AL,4903185,2020,2,27,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0629,0.0243,.167,.0957,0.0114,-0.00143,0.00216,0.0182,0.000513,0.0291,.0241,.00537,0.0142,.0287,-.0048
4,1,Alabama,AL,4903185,2020,2,28,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.0757,0.0329,.179,.0971,0.0114,-0.00286,0.0035399999999999997,0.0184,0.00023199999999999997,0.0295,.0249,.00628,0.0142,.0281,-.00459
5,1,Alabama,AL,4903185,2020,2,29,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.09,0.0414,.191,.107,0.01,-0.00571,0.00855,0.0185,-2.9299999999999997e-05,0.0297,.0252,.00657,0.0142,.0272,-.00439
6,1,Alabama,AL,4903185,2020,3,1,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.109,0.0529,.233,.114,0.0129,-0.00857,0.0144,0.0184,-9.84e-05,0.0296,.0253,.00632,0.0143,.0263,-.0042
7,1,Alabama,AL,4903185,2020,3,2,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.12300000000000001,0.0629,.249,.119,0.0186,-0.0114,0.0177,0.0183,1.15e-06,0.0293,.0251,.00557,0.0143,.0253,-.00403
8,1,Alabama,AL,4903185,2020,3,3,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.141,0.08,.257,.116,0.0229,-0.0129,0.0191,0.018000000000000002,0.000135,0.0288,.0246,.00439,0.0144,.0244,-.00412
9,1,Alabama,AL,4903185,2020,3,4,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.129,0.0729,.236,.103,0.0229,-0.01,0.0159,0.0177,0.000258,0.0283,.0239,.00288,0.0144,.0236,-.00435
10,1,Alabama,AL,4903185,2020,3,5,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.121,0.0729,.216,.0957,0.0229,-0.0071400000000000005,0.0131,0.0173,0.000364,0.0277,.0231,.00111,0.0144,.023,-.00466
11,1,Alabama,AL,4903185,2020,3,6,0,0,.,0.0,0.0,.,.,0,0,.,0,0,.,0.11699999999999999,0.07,.229,.0957,0.0243,-0.0071400000000000005,0.0131,0.0168,0.000337,0.0272,.0221,-.000791,0.0143,.0226,-.00519
12,1,Alabama,AL,4903185,2020,3,7,0,0,0,0.0,0.0,0,.,0,0,.,0,0,.,0.113,0.0671,.24,.0929,0.0271,-0.00571,0.0106,0.0163,5.79e-05,0.0268,.021,-.00297,0.0142,.0225,-.00603
